food,lyric,song,album,notes,type of food,,
table butter,He soft as doctor cotton and table butter but I'm solid,tryna get it,The Block Brochure: Welcome to the Soil 2,,dairy,,
glad bags,"You like Berkin bags, I like glad bags",tryna get it,The Block Brochure: Welcome to the Soil 2,,,,
cognac,"First name Cognac, I’m talkin' 'bout Landy",the other day ago,The Block Brochure: Welcome to the Soil 2,,alcoholic beverage,,
cool whip,I’m in the new whip creamed up like Cool Whip,the other day ago,The Block Brochure: Welcome to the Soil 2,,condiment,,
ruffles chips,"I got my ruffles on point, more than a few chips",the other day ago,The Block Brochure: Welcome to the Soil 2,,,,
panini,"Panini a motherfucker, toast him like a patty melt",sell everything,The Block Brochure: Welcome to the Soil 2,,,,
patty melt,"Panini a motherfucker, toast him like a patty melt",sell everything,The Block Brochure: Welcome to the Soil 2,,,,
green eggs and ham,Trying to get their ham and green eggs like Dr. Seuss,sell everything,The Block Brochure: Welcome to the Soil 2,,,,
peanuts,"Real niggas ain't never outdated, peanuts to a elephant",my life,The Block Brochure: Welcome to the Soil 2,,produce,,
opus one wine,"A bottle of Opus One wine, 500 dollars a pop (A pop)",grey skies,The Block Brochure: Welcome to the Soil 2,,alcoholic beverage,,
red beans and rice,"You can teach our daughter how to cook, red beans and rice",grey skies,The Block Brochure: Welcome to the Soil 2,,,,
english muffin,Put da bitch ass nigga in half like a english muffin,grey skies,The Block Brochure: Welcome to the Soil 2,,,,
poboy,Not a sandwhich but I used to be a poboy yow,grey skies,The Block Brochure: Welcome to the Soil 2,,,,
cashews,Like cashews watch niggas go nutty on a mission for the money,hittin a lick,The Block Brochure: Welcome to the Soil 2,(this sounded so bad when fuckin that guy against mike eagle did it but someohw here its okay),produce,,
lunch meat,Got your chick tookin this sip lookin throw the bar cause your click lookin like lunch meat,hittin a lick,The Block Brochure: Welcome to the Soil 2,,,,
potato salad,But I remain silent like potato salad what,i can do without you,The Block Brochure: Welcome to the Soil 2,,,,
pineapple upside down cake,Stitch yo pineapple upside down ova ma cake (ova ma cake),im doin it,The Block Brochure: Welcome to the Soil 2,,,,
pesto,Double fist to gettin green like gettin pesto,wasted,The Block Brochure: Welcome to the Soil 3,,condiment,,
daniel boone,"The black Daniel Boone, alcohol consume",wasted,The Block Brochure: Welcome to the Soil 3,,alcoholic beverage,,
buttermilk pancakes,Stack like some buttermilk pancakes,wasted,The Block Brochure: Welcome to the Soil 3,,,,
sprite,Got a 2 liter bottle a Sprite an a fifth of that there Landy,what you smokin on,The Block Brochure: Welcome to the Soil 3,,beverage,,
landy,Got a 2 liter bottle a Sprite an a fifth of that there Landy,what you smokin on,The Block Brochure: Welcome to the Soil 3,,alcoholic beverage,,
ziplocs,"Ziplocs in dis bitch, don’t be poxy in dis bitch",stove on high,The Block Brochure: Welcome to the Soil 3,,,,
barbecue,"Get rid of our threats, an throw barbeques",stove on high,The Block Brochure: Welcome to the Soil 3,,,,
catfish nuggets,orderin some ? and some catfish nuggets,makin my rounds,The Block Brochure: Welcome to the Soil 3,,,,
cognac,in the traffic you can find me sippin cognac,makin my rounds,The Block Brochure: Welcome to the Soil 3,,alcoholic beverage,,
soda,I'm tryin to bubble like sodas it's funky like halitosis,gargoyle serenade,The Block Brochure: Welcome to the Soil 3,,beverage,,
cinnamon rolls,"A cinnamon roll, look like a snake curled up",gargoyle serenade,The Block Brochure: Welcome to the Soil 3,Extended machine gun carbine that looks like a cinnamon roll,,,
pedialyte,I googled it right an they say drink pedialyte (pedialyte),i aint doin nothin,The Block Brochure: Welcome to the Soil 3,,beverage,,
vodka,"I’m mixin vodka wit dis gin, bout to dive up in her friend",i aint doin nothin,The Block Brochure: Welcome to the Soil 3,,alcoholic beverage,,
gin,"I’m mixin vodka wit dis gin, bout to dive up in her friend",i aint doin nothin,The Block Brochure: Welcome to the Soil 3,,alcoholic beverage,,
landy, on this Landy not Moscato,what happened to them days,The Block Brochure: Welcome to the Soil 3,,alcoholic beverage,,
moscato, on this Landy not Moscato,what happened to them days,The Block Brochure: Welcome to the Soil 3,,alcoholic beverage,,
souflee,"Cook a motherfucker, souflee (souflee!)",i'm on his top,The Block Brochure: Welcome to the Soil 3,,,,
beer,Let it all out man shed a tear / Spark one out man pour out some beer,sidewalk memorial,The Block Brochure: Welcome to the Soil 3,,alcoholic beverage,,
cookie dough,"L.A. confidential, cherry pie, and some cookie dough",over here,The Block Brochure: Welcome to the Soil 3,,,,
cherry pie,"L.A. confidential, cherry pie, and some cookie dough",over here,The Block Brochure: Welcome to the Soil 3,,,,
patron,So I'ma finish off this triple shot of Patron,over here,The Block Brochure: Welcome to the Soil 3,,alcoholic beverage,,
richard hennessy cognac,Wid a bottle a richard hennessy cognac in ma fuckin lap,get ya weight up,The Block Brochure: Welcome to the Soil 3,,alcoholic beverage,,
egg,"Then they get egg on bread, but they ain’t put cheese on tha pizza",get ya weight up,The Block Brochure: Welcome to the Soil 3,,dairy,,
pizza,"Then they get egg on bread, but they ain’t put cheese on tha pizza",get ya weight up,The Block Brochure: Welcome to the Soil 3,,,,
prune,Some a you suckaz can’t tell a prune from a pulp,get ya weight up,The Block Brochure: Welcome to the Soil 3,,,,
crawfish,"A crawfish from a prawn, a lake from a fuckin pond",get ya weight up,The Block Brochure: Welcome to the Soil 3,,,,
prawn,"A crawfish from a prawn, a lake from a fuckin pond",get ya weight up,The Block Brochure: Welcome to the Soil 3,,,,
spaghetti,"Saucy like spaghetti, one day ima get saved",get ya weight up,The Block Brochure: Welcome to the Soil 3,,,,
arm & hammer baking soda,Put a little bit a water an arm an hammer to let it foam like aftershave,get ya weight up,The Block Brochure: Welcome to the Soil 3,,,,
olive oil,Olive oil on ma forehead for ma survival,get ya weight up,The Block Brochure: Welcome to the Soil 3,,condiment,,
baking soda,Fuckin’ around with the baking soda not that toothpaste,bamboo,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
ice cream truck,People gather 'round me like an ice cream truck,bendin corners,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
apple,"Then it's dark like shadows off the tree, bad apple",bendin corners,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,produce,,
cognac,"Cognac and Snapple sippin, spliffer twistin Swisher Sweets",bendin corners,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,alcoholic beverage,,
snapple,"Cognac and Snapple sippin, spliffer twistin Swisher Sweets",bendin corners,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,beverage,,
egg,"He jumped, so I beat him like an egg / Cracked his shell, got on his head",bendin corners,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,dairy,,
french toast,"(Ooh) She stacked like french toast, brains over beauty / She just so happened to be blessed with both",bendin corners,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
carlos rossi,"With some gold on my body, out my body, off Carlos Rossi",chitty bang,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,alcoholic beverage,,
kool-aid,Tote a 4-4 spit your Kool-aid pack,shit like that,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,beverage,,
gumbo,"Gumbo pots, microwaves, ride down windows and cameras",ball out,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
pistachios,"Eating pistachios, cleaning my AK",ball out,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,produce,,
tomato soup,"Knock a motherfucker head off; tomato soup, not chicken broth",got that line,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
"red berry, coconut, peach ciroc","Bottle of ciroc shawty i prefer the flavor / Red berry, coconut or we can do the peach",thirsty,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,alcoholic beverage,,
pita,It’s a wrap like a pita they going take me to Rita,tree in the load,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
remy martin cognac,100 Remy bottles at the candlelight (at the candlelight) / Baby-mommas cryin' at the candlelight (at the candlelight),candlelight,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,alcoholic beverage,,
vegetable soup,They’ll turn you to a vegetable like the soup,by any means,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
roast,I smoke like a roast get ya ass toast,by any means,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
soup & salad,"I ain't soup and salad, I'm souper salad",money on my mind,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
pizza,The pizza man don’t even wanna come to my hood,home again,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
ramen noodles,"Got some ramen noodles, some mayonnaise and tuna, some cheese and potato chips",home again,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
mayonnaise and tuna,"Got some ramen noodles, some mayonnaise and tuna, some cheese and potato chips",home again,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,condiment,,
cheese,"Got some ramen noodles, some mayonnaise and tuna, some cheese and potato chips",home again,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,dairy,,
potato chips,"Got some ramen noodles, some mayonnaise and tuna, some cheese and potato chips",home again,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
bread crust,"Ma niggas want d bread, no crust (no crust)",plush,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
peanut butter,"Peanut butter guts in ma new school, lookin hella plush",plush,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,condiment,,
panko,I’m crispy like panko (like panko),mister t,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
crown royal whiskey,"Loyal to my soil, purple bag Crown Royal (Liquor!)",countdown,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,alcoholic beverage,,
tylenol,"On a pill, I ain't talking Tylenol (Bitch!)",countdown,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
steak,The monsters they raised up out the V I’m a boss / I start havin steak and lobster with hollandaise sauce,play too much,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
lobster,The monsters they raised up out the V I’m a boss / I start havin steak and lobster with hollandaise sauce,play too much,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
hollandaise sauce,The monsters they raised up out the V I’m a boss / I start havin steak and lobster with hollandaise sauce,play too much,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,condiment,,
lozenge,Your bitch want me in her mouth like I’m a throat lozengers,play too much,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
dom perignon,I got some perignon (?) and a bottle of bel-air,all y'all,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,alcoholic beverage,,
cashews,This beat go nutty it's cashew (cashew),all y'all,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,produce,,
sprite,Her needs is tequila and sprite what she likes when it’s time to get turnt,in dat cup,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
galbani string cheese,"All we want is the money, the mozzarella, Galbani",all my niggaz,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,dairy,,
mozzarella,"All we want is the money, the mozzarella, Galbani",all my niggaz,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,dairy,,
Food 4 Less,Ugh my finances ain't the best you can find me at winkler's or Food 4 less,do what i gotta do,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
olive oil,Got a vest and some olive oil that the pastor blessed,off the block,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,condiment,,
champagne,"Get up early, tell that bitch to give brain / Then brush my teeth with champagne",champagne,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,alcoholic beverage,,
jergen's lotion,"He suffers baby lotion, Jergens",champagne,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
cranberry juice,"Ugh, cranberry and Ciroc, fucked up",penetrate,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,beverage,,
ciroc,"Ugh, cranberry and Ciroc, fucked up",penetrate,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,alcoholic beverage,,
chicken wing,Legs spread open like a chicken wing (40!),penetrate,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
panko,"I'm crispy like Panko, monitor on my ankle",turn up or burn up,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
cinnamon rolls,"Extendos, cinnamon rolls, Pillsbury big biscuits",pablo,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
pillsbury biscuits,"Extendos, cinnamon rolls, Pillsbury big biscuits",pablo,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
coffee (black),40 carrot now swear it black coffee,tonight,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,beverage,,
pizza,Goons on your squad for a piece a pizza,put it in the air,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
sprite,"Had a little bit of lemon, a little bit of sprite in my styrofoam cup",the art of storytelling pt ii,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,beverage,,
caviar,Champagne wishes caviar dreams,up all night,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
canteloupe,Bust your head like a cantaloupe no joke no joke,in a bucket,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,produce,,
gumbo roux,Even if you seasoned like barbecue or bar gumbo roux,what kind of world,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
barbecue,Even if you seasoned like barbecue or bar gumbo roux,what kind of world,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
fried bologna,I don’t come from money i come from fried baloney,don't shoot the messenger,"The Block Brochure: Welcome To the Soil, Pt. 4, 5, & 6",,,,
plastic baggies,"See he cures, he trees trim em' and put em in plastic baggies",mr. flamboyant 2k11,Revenue Retrievin’: Overtime Shift,,,,
saran wrap,"Medicine draws, saran wraps, FedEx or UPS",mr. flamboyant 2k11,Revenue Retrievin’: Overtime Shift,,,,
ocean spray cranberry juice,I'm on a big ass bottle of Goose and some Ocean Spray cranberry juice,drugs,Revenue Retrievin’: Overtime Shift,,beverage,,
grey goose,I'm on a big ass bottle of Goose and some Ocean Spray cranberry juice,drugs,Revenue Retrievin’: Overtime Shift,,alcoholic beverage,,
grey poupon,What color is your exterior? The same as grey poupon,drugs,Revenue Retrievin’: Overtime Shift,,condiment,,
gumbo,"And I been with the gumbo pot too, I was taught by the best, Raul / See Raul been the neighborhood iron chef since 1982",drugs,Revenue Retrievin’: Overtime Shift,,,,
7-11 burrito,7-11 turf burrito livin' warmed up in a microwave,hillside,Revenue Retrievin’: Overtime Shift,,,,
wine-o,Why give a Wine-O a dollar to buy a beer for me?,hillside,Revenue Retrievin’: Overtime Shift,,alcoholic beverage,,
burger king,Hit'chu up outta bounds coming out of Burger King or Wendy's,gunz,Revenue Retrievin’: Overtime Shift,,,,
wendy's,Hit'chu up outta bounds coming out of Burger King or Wendy's,gunz,Revenue Retrievin’: Overtime Shift,,,,
gin,I still be drinking old school gin and getting tunned,slow it down,Revenue Retrievin’: Overtime Shift,,alcoholic beverage,,
cheese eggs & grits,"Have a breakfast at the waffle house, cheese eggs and grits",me and my bitch,Revenue Retrievin’: Overtime Shift,,,,
landy,Gotta fifth of landy cognac and some romulan,beastin,Revenue Retrievin’: Overtime Shift,,alcoholic beverage,,
gillette razor,"Uhh, I'm breaking down a quarter pound on a dude who play with a Gillette razor blade",my money straight,Revenue Retrievin’: Overtime Shift,,,,
chitlins,"Every Thanksgiving, you'd make our favorite dish: chitlins",i love my momma,Revenue Retrievin’: Overtime Shift,,,,
mac and cheese,"Macaroni and cheese, mustard greens, turkey and dressing",i love my momma,Revenue Retrievin’: Overtime Shift,,,,
mustard greens,"Macaroni and cheese, mustard greens, turkey and dressing",i love my momma,Revenue Retrievin’: Overtime Shift,,produce,,
turkey & dressing,"Macaroni and cheese, mustard greens, turkey and dressing",i love my momma,Revenue Retrievin’: Overtime Shift,,,,
banana nut bread,"And as far as sweets, can't nobody touch you / When you'd make your famous banana nut bread and 7-Up cake",i love my momma,Revenue Retrievin’: Overtime Shift,,,,
7-up cake,"And as far as sweets, can't nobody touch you / When you'd make your famous banana nut bread and 7-Up cake",i love my momma,Revenue Retrievin’: Overtime Shift,"the next line is: I'm so happy mama, you learned how to text (this is just a cute line)",,,
nuts and fruits,Right next to the money counter / That’s right next to scale / For weighing nuts and fruits not yayo / That’s my excuse if they took me to jail,in the morning,Revenue Retrievin’: Overtime Shift,,produce,,
horseradish,And a souped up charger same color as horseradish,punken em out,Revenue Retrievin’: Overtime Shift,,condiment,,
pork chops,"They brought us here on a boat, whipped us and raped us / Scraps from a pig they gave us / So we cook pork chops, chitlins, ribs and bacon / Fucked around and got addicted swine, which wasn't supposed to be",born in the struggle,Revenue Retrievin’: Overtime Shift,,,,
chitlins,"They brought us here on a boat, whipped us and raped us / Scraps from a pig they gave us / So we cook pork chops, chitlins, ribs and bacon / Fucked around and got addicted swine, which wasn't supposed to be",born in the struggle,Revenue Retrievin’: Overtime Shift,,,,
ribs,"They brought us here on a boat, whipped us and raped us / Scraps from a pig they gave us / So we cook pork chops, chitlins, ribs and bacon / Fucked around and got addicted swine, which wasn't supposed to be",born in the struggle,Revenue Retrievin’: Overtime Shift,,,,
bacon,"They brought us here on a boat, whipped us and raped us / Scraps from a pig they gave us / So we cook pork chops, chitlins, ribs and bacon / Fucked around and got addicted swine, which wasn't supposed to be",born in the struggle,Revenue Retrievin’: Overtime Shift,,,,
table butter,"Can't be soft as table butter, can't be no punk",born in the struggle,Revenue Retrievin’: Overtime Shift,,dairy,,
msg,Authentic organic no MSG,fuck em,Revenue Retrievin’: Overtime Shift,,,,
gillette razor,"That’s why I’m sharper than a Gillette, or a Yoshi blade, I'm cut like that",movin organized business,Revenue Retrievin’: Overtime Shift,,,,
yoshi blade knife,"That’s why I’m sharper than a Gillette, or a Yoshi blade, I'm cut like that",movin organized business,Revenue Retrievin’: Overtime Shift,,,,
carls jr,A Green Burrito and a Carl's Jr,tired of sellin yola,Revenue Retrievin’: Overtime Shift,,,,
"chicken breast, wing, thigh",A breast a wing and a thigh...,serious,Revenue Retrievin’: Graveyard Shift,,,,
sonic's,Tell me what'chu and need and we can meet by Sonic's,graveyard shift,Revenue Retrievin’: Graveyard Shift,,,,
k-mart,Got blue light specials like K-Mart,graveyard shift,Revenue Retrievin’: Graveyard Shift,,,,
kentucky fried chicken,Gunned him down in the drive-through of Kentucky Fried Chicken,concrete,Revenue Retrievin’: Graveyard Shift,,,,
landy,"I’m off this Landy and proper, she off that rum and Bacardi",fried,Revenue Retrievin’: Graveyard Shift,,alcoholic beverage,,
bacardi,"I’m off this Landy and proper, she off that rum and Bacardi",fried,Revenue Retrievin’: Graveyard Shift,,alcoholic beverage,,
cranapple juice,"Cranapple juice and Ketel One Vodka, still popping my collar the way I really act (Really act)",fried,Revenue Retrievin’: Graveyard Shift,,beverage,,
ketel one vodka,"Cranapple juice and Ketel One Vodka, still popping my collar the way I really act (Really act)",fried,Revenue Retrievin’: Graveyard Shift,,alcoholic beverage,,
peanut butter,Nigga that bitch thicker than... peanut butter in the freezer,bad bitch,Revenue Retrievin’: Graveyard Shift,,,,
lobster,"I drop a monkey off a banana tree, but I guess that it was meant / Penalty,.. lobster and shrimp",takin em back,Revenue Retrievin’: Graveyard Shift,,,,
shrimp,"I drop a monkey off a banana tree, but I guess that it was meant / Penalty,.. lobster and shrimp",takin em back,Revenue Retrievin’: Graveyard Shift,,,,
waffles,"Eight, tonight, a dinner with waffles",takin em back,Revenue Retrievin’: Graveyard Shift,,,,
motrin,Alot of these bitch ass niggas should be wearing a skirt / With the box of Motrin and some maxi pads in they purse,my shit bang,Revenue Retrievin’: Graveyard Shift,,,,
popsicles,Cause they're a whole bunch of that sucka shit a bunch of popsicles,my shit bang,Revenue Retrievin’: Graveyard Shift,,,,
kool-aid,"Don’t think think that I won’t bust (Bust) a nigga head to the tender fat / Split his Kool-AId pack, push his helmet back",43,Revenue Retrievin’: Graveyard Shift,,,,
burgers,I'm from the gang cooking burgers in the kitchen / Used to get off weight like Nutrisystem,e forty,Revenue Retrievin’: Graveyard Shift,,,,
nutrisystem,I'm from the gang cooking burgers in the kitchen / Used to get off weight like Nutrisystem,e forty,Revenue Retrievin’: Graveyard Shift,,,,
peach cobbler,My life ain't never been no peach cobbler,e forty,Revenue Retrievin’: Graveyard Shift,,,,
pruno,I got a big ole plastic bag of pruno,trapped,Revenue Retrievin’: Graveyard Shift,,alcoholic beverage,,
white rice,"It’s tuff times, pressure bust pikes / Stressin cause ulcers gotta eat white rice",tuff times,Revenue Retrievin’: Graveyard Shift,,,,
sandwich bags,A box of sandwich bags and a pocket full of scrill,fast quarter,Revenue Retrievin’: Graveyard Shift,,,,
california raisins,"Hard-headed and mannish, me and my Filipinos and Hispanics / Guamanians and Asians, Samoans, Tongans and Caucasians /California Bears, not no California raisins",back in business,Revenue Retrievin’: Day Shift,,,,
kleenex,Can't be soft like a box of Kleenex,i get down,Revenue Retrievin’: Day Shift,,,,
egg yolk,They can suck the yellow yolk up out of the egg,i get down,Revenue Retrievin’: Day Shift,,dairy,,
chocolate chip cookie,My lil' chocolate chip cookie,fuck you right,Revenue Retrievin’: Day Shift,,,,
whipped cream,"Caramel skin, she got that whip cream",fuck you right,Revenue Retrievin’: Day Shift,,condiment,,
landy,"Drink a little Landy, smoke a little kush",fuck you right,Revenue Retrievin’: Day Shift,,alcoholic beverage,,
bagel,"I know some folks, they got they top split like a bagel",rick rock horns,Revenue Retrievin’: Day Shift,,,,
clam chowder,"It's paid for, not rented, same color as clam chowder",rick rock horns,Revenue Retrievin’: Day Shift,,,,
Mucinex,Street so cold mane they need some Mucinex,dem boyz,Revenue Retrievin’: Day Shift,,,,
pie crust,"Rock it up (?) dust, same color as pie crust",all i need,Revenue Retrievin’: Day Shift,,,,
applebee's,"Should I start selling trees, or should I keep my job at Applebee's",it's gotta get betta,Revenue Retrievin’: Day Shift,,,,
peanut butter,Think like peanut butter in the freezer,show me what you workin wit,Revenue Retrievin’: Night Shift,,,,
landy,The Vodka or this Landy no mistaking for no trickin',how i'm feeling right now,Revenue Retrievin’: Night Shift,,alcoholic beverage,,
bailey's,"Baileys n Landy, that’s the remedy",wet,Revenue Retrievin’: Night Shift,,alcoholic beverage,,
landy,"Baileys n Landy, that’s the remedy",wet,Revenue Retrievin’: Night Shift,,alcoholic beverage,,
grey goose,"Cup full of grey goose, wrap full of herb",wet,Revenue Retrievin’: Night Shift,,alcoholic beverage,,
ketchup,STEP IT UP! Don't get left behind (left behind) / Do some CATCHING UP! Put some ketchup on your fries (on your fries),ahhhh shit,Revenue Retrievin’: Night Shift,,condiment,,
fries,STEP IT UP! Don't get left behind (left behind) / Do some CATCHING UP! Put some ketchup on your fries (on your fries),ahhhh shit,Revenue Retrievin’: Night Shift,,,,
safeway paper bag,"In a Safeway paper bag / For the playa pricer nickel, cause he was doing kinda bag",prepared,Revenue Retrievin’: Night Shift,,,,
sham-wow,Watching OG shoot the shit and pow-wow / A sponge it up like Sham-wow,prepared,Revenue Retrievin’: Night Shift,,,,
cinnabon,"Turn an ugly bitch to a bad bitch, put a wig on a chimpanzee / They call me Cinnabon, send a snow bunny just like a check",attention,Revenue Retrievin’: Night Shift,,,,
peanut butter,Got to provide you with the peanut butter and jelly / But you got to make the sandwich,let go and let god,Revenue Retrievin’: Night Shift,,condiment,,
jelly,Got to provide you with the peanut butter and jelly / But you got to make the sandwich,let go and let god,Revenue Retrievin’: Night Shift,,condiment,,
cereal,"Cereal, milk, cheese and egss apply for the WIC program",let go and let god,Revenue Retrievin’: Night Shift,,,,
milk,"Cereal, milk, cheese and egss apply for the WIC program",let go and let god,Revenue Retrievin’: Night Shift,,beverage,,
eggs,"Cereal, milk, cheese and egss apply for the WIC program",let go and let god,Revenue Retrievin’: Night Shift,,dairy,,
cheese,"Cereal, milk, cheese and egss apply for the WIC program",let go and let god,Revenue Retrievin’: Night Shift,,dairy,,
tomato,"They call me uncle 40 water the ambassador, the top tomata / And to all u sucka's tryina hate, 40 water doin great",the ambassador,The Ball Street Journal,,produce,,
40 water,"They call me uncle 40 water the ambassador, the top tomata / And to all u sucka's tryina hate, 40 water doin great",the ambassador,The Ball Street Journal,,beverage,,
pretzel,Twisted like a pretzel drink a cranberry and kettle juice,i'm on one,The Ball Street Journal,,,,
cranberry juice,Twisted like a pretzel drink a cranberry and kettle juice,i'm on one,The Ball Street Journal,,beverage,,
ketel one vodka,Twisted like a pretzel drink a cranberry and kettle juice,i'm on one,The Ball Street Journal,,alcoholic beverage,,
shrimp pops,I’m at the officiating table drinking shrimp pops / On this landi cognac som’n pitiful,i'm on one,The Ball Street Journal,,,,
landy,I’m at the officiating table drinking shrimp pops / On this landi cognac som’n pitiful,i'm on one,The Ball Street Journal,,alcoholic beverage,,
patron,"With the purple and Patrón finna take it to the dough, on one won’t stop till it’s all gone",i'm on one,The Ball Street Journal,,alcoholic beverage,,
landy,"Landy cognac, sippin' X.O., me and my guys",got rich twice,The Ball Street Journal,,alcoholic beverage,,
xo cognac,"Landy cognac, sippin' X.O., me and my guys",got rich twice,The Ball Street Journal,,alcoholic beverage,,
bologna,"I'ma work the three jobs, tryna keep a roof on our heads / Bologna sandwich, used to peel the mold off the bread",got rich twice,The Ball Street Journal,,,,
grand marnier,Small talk over a glass of Grand Marnier,pain no more,The Ball Street Journal,,alcoholic beverage,,
fried bologna,"Move you out the hood, I told you I would, I’m not phony / We both from the same place, grew up on fried bologna",give her the keys,The Ball Street Journal,,,,
collard greens,"Throw down like Paula Deen, neckbones and collard greens",give her the keys,The Ball Street Journal,,,,
mcdonald's,"In the hill side of Vallejo, County of Selano / Get off a magazine and meet me over there by McDonald's",40 water,The Ball Street Journal,,,,
40 water,the song 40 water is about 40 water,40 water,The Ball Street Journal,,beverage,,
xo landy,"I'm on this XO Landy, mixed with 40 water",hood boy,The Ball Street Journal,,alcoholic beverage,,
chimichanga,"Watch out for that boy in the hoodie, man, he a monster / Light a sucker up, fried buster like Chimichanga",earl,The Ball Street Journal,,,,
chopsticks,"They starving, they hungry, they eating soup with chopsticks / Plus, it's a shortage on purple, and it's a drought on them bricks",earl,The Ball Street Journal,,,,
root beer,A root beer to a sprite,i can sell it,The Ball Street Journal,,beverage,,
cheese,Cheese to pizza,i can sell it,The Ball Street Journal,,dairy,,
pizza,Cheese to pizza,i can sell it,The Ball Street Journal,,,,
grapes,I can sell grapes to a vineyard,i can sell it,The Ball Street Journal,,produce,,
chicken (fried),Chicken to the colonel,i can sell it,The Ball Street Journal,,,,
excedrin,Skills to a veteran / Pills to Excedrin,i can sell it,The Ball Street Journal,,,,
patron,"Get on that Patron, called Stella, Ella, and Della",alcoholism,The Ball Street Journal,,alcoholic beverage,,
canteloupe,"Sitting in the coupe, Orange like cantaloupe",alcoholism,The Ball Street Journal,,produce,,
olde english beer,Olde English beer make it hard to steer,alcoholism,The Ball Street Journal,,alcoholic beverage,,
grape kool-aid,"Bird and grape Kool-Aid, no Ace of Spades",alcoholism,The Ball Street Journal,,beverage,,
marie callender pies,"Looted up, I push pies like Marie Callender - what'chu gon' do?",yay area,My Ghetto Report Card,,,,
mccormick's seasonings,"Like McCormick's I'm seasoned, I run my region (run yo' region)",yay area,My Ghetto Report Card,,spice,,
hennessy,"Some Henny, some Swishers and some Listerine strips",tell me when to go,My Ghetto Report Card,,,,
listerine strips,"Some Henny, some Swishers and some Listerine strips",tell me when to go,My Ghetto Report Card,,,,
top ramen noodle,Split his pack open like pack of Top Ramen noodle,muscle cars,My Ghetto Report Card,,,,
